selected,rejected,corr_coef
AA1_1,AA3,0.630637928
AA1_1,AA3_2,0.609354491
AA1_1,CE8,0.612330304
AA3_1,CE8,0.594498736
AA5,AA5_1,0.999468801
AA9,CAZymes,0.673589652
AA9,PL,0.640329651
AA9,GH131,0.622838366
AA9,GH10,0.66509736
AA9,CE15,0.551169772
AA9,CE1,0.622968057
AA9,GH7,0.59901978
AA9,CBM1,0.606340991
AA9,CBM,0.617524425
AA9,AA8,0.570975487
AA9,AA,0.747605827
AA9,CE,0.652484864
CE12,CE,0.667649977
CE12,CE8,0.626598123
CE12,GH,0.659975176
CE12,GH16,0.588778346
CE12,GH35,0.596660928
CE12,GH93,0.581127682
CE12,PL1,0.648118389
CE12,PL4,0.602449213
GH5_9,GH16,0.584647999
PL8_4,PL8,1
