method,metrics,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
imbalanced,Accuracy,0.9461428571428566,0.0004982683982683982,0.9714285714285714,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9142857142857143,0.9285714285714286,0.9571428571428572,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9285714285714286,0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9142857142857143,0.9428571428571428,0.9571428571428572,0.8857142857142857,0.9428571428571428,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.8714285714285714,0.9428571428571428,0.9142857142857143,0.9285714285714286,0.9285714285714286,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.8857142857142857,0.9571428571428572,0.9,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9857142857142858,0.9428571428571428,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9571428571428572
imbalanced,Recall,0.8982103832998632,0.004290319924104324,1.0,0.8125,0.9333333333333333,0.8125,0.875,0.8666666666666667,0.9285714285714286,0.875,0.7692307692307693,0.8125,1.0,1.0,0.9130434782608695,0.9375,0.9230769230769231,1.0,0.9375,0.8235294117647058,0.8666666666666667,0.8333333333333334,0.9230769230769231,0.8125,0.875,0.7777777777777778,1.0,0.8571428571428571,0.8,1.0,0.8947368421052632,0.875,0.8888888888888888,0.9333333333333333,0.9333333333333333,0.7894736842105263,0.8571428571428571,1.0,0.9444444444444444,0.8571428571428571,0.8181818181818182,0.9230769230769231,1.0,0.9333333333333333,0.8181818181818182,0.8125,0.9333333333333333,0.8333333333333334,0.9333333333333333,0.9375,0.8666666666666667,0.8571428571428571,1.0,1.0,0.8095238095238095,0.8571428571428571,0.8666666666666667,0.875,0.8571428571428571,0.8333333333333334,0.9473684210526315,0.9285714285714286,0.8823529411764706,0.8461538461538461,1.0,0.9333333333333333,0.875,0.9090909090909091,0.8666666666666667,1.0,0.8461538461538461,1.0,0.875,0.9166666666666666,0.8125,0.8461538461538461,0.8125,0.8888888888888888,0.8125,0.8823529411764706,0.8666666666666667,0.9285714285714286,1.0,0.8823529411764706,0.9285714285714286,0.8888888888888888,0.9285714285714286,0.8888888888888888,0.875,0.9166666666666666,0.9411764705882353,1.0,0.9166666666666666,0.8125,0.8823529411764706,1.0,0.8,1.0,0.9285714285714286,1.0,1.0,0.85
imbalanced,Precision,0.8564000468056192,0.009034453378912675,0.8571428571428571,0.8125,0.8235294117647058,0.8125,1.0,0.8666666666666667,0.8125,1.0,0.7692307692307693,0.8666666666666667,0.8235294117647058,0.6923076923076923,0.9545454545454546,0.9375,0.8571428571428571,0.8666666666666667,0.9375,0.875,0.9285714285714286,0.9375,0.8,0.9285714285714286,0.875,0.875,0.75,0.8,1.0,0.875,0.9444444444444444,0.875,0.9411764705882353,0.875,0.875,0.9375,0.8571428571428571,0.8888888888888888,0.8947368421052632,0.9230769230769231,0.75,0.7058823529411765,0.75,0.875,0.6,0.9285714285714286,0.7368421052631579,0.9090909090909091,0.9333333333333333,0.9375,0.8666666666666667,0.8571428571428571,0.5833333333333334,0.875,0.9444444444444444,0.631578947368421,0.8666666666666667,0.7777777777777778,0.8,0.7692307692307693,0.9473684210526315,0.9285714285714286,0.8823529411764706,0.8461538461538461,0.85,0.875,0.875,0.7692307692307693,0.8666666666666667,0.8571428571428571,0.7333333333333333,0.8666666666666667,0.5,0.8461538461538461,0.7647058823529411,0.9166666666666666,0.8666666666666667,1.0,1.0,0.8333333333333334,1.0,0.7222222222222222,0.8,1.0,0.8125,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.7333333333333333,1.0,0.8461538461538461,0.7857142857142857,0.9285714285714286,0.9375,0.8235294117647058,0.7272727272727273,0.8823529411764706,0.8666666666666667,0.8823529411764706,0.8666666666666667,1.0
imbalanced,F-measure,0.8725197595001601,0.003499147962268006,0.923076923076923,0.8125,0.8749999999999999,0.8125,0.9333333333333333,0.8666666666666667,0.8666666666666666,0.9333333333333333,0.7692307692307693,0.8387096774193549,0.9032258064516129,0.8181818181818181,0.9333333333333332,0.9375,0.888888888888889,0.9285714285714286,0.9375,0.8484848484848485,0.896551724137931,0.8823529411764706,0.8571428571428571,0.8666666666666666,0.875,0.823529411764706,0.8571428571428571,0.8275862068965518,0.888888888888889,0.9333333333333333,0.918918918918919,0.875,0.9142857142857143,0.9032258064516129,0.9032258064516129,0.8571428571428572,0.8571428571428571,0.9411764705882353,0.918918918918919,0.888888888888889,0.7826086956521738,0.8000000000000002,0.8571428571428571,0.9032258064516129,0.6923076923076923,0.8666666666666666,0.8235294117647058,0.8695652173913043,0.9333333333333333,0.9375,0.8666666666666667,0.8571428571428571,0.7368421052631579,0.9333333333333333,0.8717948717948718,0.7272727272727273,0.8666666666666667,0.823529411764706,0.8275862068965518,0.8,0.9473684210526315,0.9285714285714286,0.8823529411764706,0.8461538461538461,0.9189189189189189,0.9032258064516129,0.875,0.8333333333333333,0.8666666666666667,0.923076923076923,0.7857142857142856,0.9285714285714286,0.6363636363636364,0.8799999999999999,0.787878787878788,0.8799999999999999,0.8387096774193549,0.9411764705882353,0.896551724137931,0.8571428571428571,0.9285714285714286,0.8125000000000001,0.888888888888889,0.9375,0.8666666666666666,0.8888888888888888,0.962962962962963,0.8888888888888888,0.823529411764706,0.8148148148148148,0.9696969696969697,0.9166666666666666,0.8461538461538461,0.8666666666666666,0.9090909090909091,0.9032258064516129,0.761904761904762,0.9375,0.896551724137931,0.9375,0.9285714285714286,0.9189189189189189
SMOTE,Accuracy,0.9600000000000002,0.00025544703230653636,0.9818181818181818,0.9545454545454546,0.9727272727272728,0.9454545454545454,0.9818181818181818,0.9818181818181818,0.9727272727272728,0.9636363636363636,0.9363636363636364,0.9545454545454546,0.9636363636363636,0.9727272727272728,0.9454545454545454,0.9727272727272728,0.9818181818181818,0.9727272727272728,0.9727272727272728,0.9272727272727272,0.9545454545454546,0.9545454545454546,0.9636363636363636,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.9727272727272728,0.9636363636363636,0.9363636363636364,0.9636363636363636,0.9454545454545454,0.9636363636363636,0.9545454545454546,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9727272727272728,0.9363636363636364,0.9636363636363636,0.9454545454545454,0.9636363636363636,0.9818181818181818,0.9636363636363636,0.9818181818181818,0.9636363636363636,0.9727272727272728,0.9363636363636364,0.9636363636363636,0.9363636363636364,0.9636363636363636,0.9454545454545454,0.9636363636363636,0.9818181818181818,0.9818181818181818,0.9636363636363636,0.9363636363636364,0.9636363636363636,0.9454545454545454,0.9636363636363636,0.9454545454545454,0.9727272727272728,0.9636363636363636,0.9818181818181818,0.9636363636363636,0.9545454545454546,0.9545454545454546,0.9454545454545454,0.9545454545454546,0.9363636363636364,0.9727272727272728,0.9636363636363636,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9636363636363636,0.9727272727272728,0.9727272727272728,0.9363636363636364,0.9636363636363636,0.9636363636363636,0.9454545454545454,0.9727272727272728,0.9454545454545454,0.9545454545454546,0.9363636363636364,0.9636363636363636,0.9272727272727272,0.9454545454545454,0.9636363636363636,0.9454545454545454,0.9727272727272728,0.9090909090909091,0.9636363636363636,0.9545454545454546,0.9727272727272728,0.9636363636363636,0.9727272727272728,0.9636363636363636,0.9636363636363636,0.9818181818181818,0.9090909090909091,0.9545454545454546
SMOTE,Recall,0.9726966200107496,0.0006260858608781786,1.0,0.9491525423728814,0.9807692307692307,0.9454545454545454,0.9655172413793104,1.0,0.9818181818181818,0.9649122807017544,1.0,0.9615384615384616,0.9661016949152542,0.9807692307692307,0.9454545454545454,0.9482758620689655,1.0,0.9818181818181818,0.9824561403508771,0.9795918367346939,0.9615384615384616,0.9607843137254902,1.0,0.9636363636363636,0.9482758620689655,1.0,0.9818181818181818,0.9649122807017544,1.0,0.9807692307692307,0.9607843137254902,1.0,0.9454545454545454,0.9655172413793104,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9607843137254902,1.0,0.9710144927536232,0.9482758620689655,1.0,0.9636363636363636,0.9824561403508771,1.0,0.9807692307692307,0.9607843137254902,0.9811320754716981,0.9130434782608695,0.9615384615384616,1.0,1.0,0.9649122807017544,1.0,0.9807692307692307,0.9607843137254902,1.0,0.9130434782608695,0.9807692307692307,0.9803921568627451,1.0,0.9824561403508771,1.0,0.9615384615384616,0.9607843137254902,0.9811320754716981,0.8985507246376812,0.9807692307692307,0.9803921568627451,0.9803921568627451,0.9649122807017544,1.0,0.9807692307692307,0.9803921568627451,1.0,0.8985507246376812,0.9615384615384616,0.9803921568627451,0.9607843137254902,0.9824561403508771,1.0,0.9615384615384616,0.9411764705882353,0.9811320754716981,0.8840579710144928,0.9423076923076923,0.9803921568627451,0.9607843137254902,0.9824561403508771,0.9122807017543859,0.9807692307692307,0.9607843137254902,1.0,0.9420289855072463,0.9615384615384616,0.9803921568627451,0.9803921568627451,1.0,0.9473684210526315,1.0
SMOTE,Precision,0.948463260337051,0.0009615391439451882,0.9629629629629629,0.9655172413793104,0.9622641509433962,0.9454545454545454,1.0,0.9666666666666667,0.9642857142857143,0.9649122807017544,0.875,0.9433962264150944,0.9661016949152542,0.9622641509433962,0.9454545454545454,1.0,0.9666666666666667,0.9642857142857143,0.9655172413793104,0.8727272727272727,0.9433962264150944,0.9423076923076923,0.9285714285714286,0.9464285714285714,1.0,0.9666666666666667,0.9642857142857143,0.9649122807017544,0.875,0.9444444444444444,0.9245283018867925,0.9298245614035088,0.9629629629629629,1.0,0.9666666666666667,0.9649122807017544,0.9655172413793104,0.875,0.9444444444444444,0.9245283018867925,0.9298245614035088,1.0,0.9821428571428571,0.9666666666666667,0.9636363636363636,0.9655172413793104,0.875,0.9444444444444444,0.9074074074074074,0.9454545454545454,1.0,0.9615384615384616,0.9666666666666667,0.9649122807017544,0.9649122807017544,0.875,0.9444444444444444,0.9245283018867925,0.9298245614035088,1.0,0.9622641509433962,0.9433962264150944,0.9649122807017544,0.9491525423728814,0.9074074074074074,0.9433962264150944,0.9245283018867925,0.9285714285714286,1.0,0.9622641509433962,0.9433962264150944,0.9259259259259259,0.9482758620689655,0.9074074074074074,0.9444444444444444,0.9615384615384616,0.9464285714285714,1.0,0.9615384615384616,0.9433962264150944,0.9245283018867925,0.9655172413793104,0.8909090909090909,0.9433962264150944,0.9230769230769231,0.9454545454545454,1.0,0.9423076923076923,0.9433962264150944,0.9245283018867925,0.9655172413793104,0.9122807017543859,0.9444444444444444,0.9423076923076923,0.9464285714285714,1.0,0.9803921568627451,0.9433962264150944,0.9433962264150944,0.9661016949152542,0.8852459016393442,0.9056603773584906
SMOTE,F-measure,0.9598530491426632,0.0002612130090871876,0.9811320754716981,0.9572649572649573,0.9714285714285713,0.9454545454545454,0.9824561403508771,0.983050847457627,0.972972972972973,0.9649122807017544,0.9333333333333333,0.9523809523809524,0.9661016949152542,0.9714285714285713,0.9454545454545454,0.9734513274336283,0.983050847457627,0.972972972972973,0.9739130434782608,0.923076923076923,0.9523809523809524,0.9514563106796117,0.962962962962963,0.9549549549549549,0.9734513274336283,0.983050847457627,0.972972972972973,0.9649122807017544,0.9333333333333333,0.9622641509433962,0.9423076923076923,0.9636363636363636,0.9541284403669724,0.9824561403508771,0.983050847457627,0.9821428571428572,0.9739130434782608,0.9333333333333333,0.9622641509433962,0.9423076923076923,0.9636363636363636,0.9852941176470589,0.9649122807017544,0.983050847457627,0.9636363636363636,0.9739130434782608,0.9333333333333333,0.9622641509433962,0.9333333333333333,0.9629629629629629,0.9545454545454545,0.9615384615384616,0.983050847457627,0.9821428571428572,0.9649122807017544,0.9333333333333333,0.9622641509433962,0.9423076923076923,0.9636363636363636,0.9545454545454545,0.9714285714285713,0.9615384615384616,0.9821428571428572,0.9655172413793103,0.9514563106796117,0.9523809523809524,0.9423076923076923,0.9541284403669724,0.9465648854961832,0.9714285714285713,0.9615384615384616,0.9523809523809523,0.9565217391304347,0.9514563106796117,0.9622641509433962,0.970873786407767,0.9724770642201834,0.9465648854961832,0.9615384615384616,0.9615384615384616,0.9423076923076923,0.9739130434782608,0.9423076923076923,0.9523809523809524,0.9320388349514563,0.9629629629629629,0.9384615384615386,0.9423076923076923,0.9615384615384616,0.9423076923076923,0.9739130434782608,0.9122807017543859,0.9622641509433962,0.9514563106796117,0.9724770642201834,0.9701492537313433,0.970873786407767,0.9615384615384616,0.9615384615384616,0.9827586206896551,0.9152542372881356,0.9504950495049505
Borderline-SMOTE,Accuracy,0.9558181818181827,0.0004675181567743551,0.9545454545454546,0.9636363636363636,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.9,0.9636363636363636,0.9545454545454546,0.9636363636363636,0.9636363636363636,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.8909090909090909,0.9545454545454546,0.9454545454545454,0.9636363636363636,0.9636363636363636,0.9454545454545454,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.9,0.9545454545454546,0.9363636363636364,0.9545454545454546,0.9727272727272728,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.9090909090909091,0.9636363636363636,0.9454545454545454,0.9636363636363636,0.9727272727272728,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.9,0.9454545454545454,0.9363636363636364,0.9545454545454546,0.9727272727272728,0.9636363636363636,0.9727272727272728,0.9818181818181818,0.9636363636363636,0.9,0.9545454545454546,0.9454545454545454,0.9545454545454546,0.9727272727272728,0.9636363636363636,0.9636363636363636,0.9818181818181818,0.9636363636363636,0.9,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9727272727272728,0.9454545454545454,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9727272727272728,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9818181818181818,0.9,0.9545454545454546,0.9454545454545454,0.9636363636363636,0.9727272727272728,0.9636363636363636,0.9636363636363636,0.9545454545454546,0.9818181818181818,0.9181818181818182,0.9545454545454546,0.9454545454545454,0.9636363636363636,0.9727272727272728,0.9636363636363636,0.9545454545454546,0.9636363636363636,0.9818181818181818,0.9181818181818182,0.9272727272727272
Borderline-SMOTE,Recall,0.9887805221146239,0.00011192762188460608,1.0,0.9830508474576272,1.0,0.9636363636363636,0.9827586206896551,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9830508474576272,1.0,0.9636363636363636,0.9827586206896551,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9636363636363636,0.9827586206896551,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9818181818181818,0.9827586206896551,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9827586206896551,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,0.9803921568627451,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,0.9803921568627451,1.0,1.0,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,0.9803921568627451,1.0,0.9649122807017544,0.9807692307692307,0.9803921568627451,1.0,0.9855072463768116,0.9807692307692307,1.0,0.9803921568627451,1.0,0.9649122807017544,1.0
